LogicalTGA,SourceClass,TGAPath,TGABYTES,TGASHA256,BTIPath,BTIBYTES,BTISHA256
dlc-frontend\textures\ui\ui button long 96x32 clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 96x32 clicked.tga,16402,49d09bb9425b0331f0bd352b3a178c80f9872292ddb39e10eeab31deef567d96,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 96x32 clicked.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui button long 96x32 rollover.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 96x32 rollover.tga,16402,ea13dafe6de39c415702565f162465e9376261536420c73bfc355633efa5d8c0,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 96x32 rollover.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui button long 96x32.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 96x32.tga,16402,2fab048f4528d6f3e3120291923d91dc03fc809293980e1a944ee51930ff0fbd,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 96x32.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui button radial 32x32 clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button radial 32x32 clicked.tga,4114,28771db764a834421b2db027196e69a580131c49220453ad6fe095cc9c94e709,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button radial 32x32 clicked.bti,25,3823028b4416e4f250c717ab672ff2ff1e12fab10284a82369bdb3b8097da106
dlc-frontend\textures\ui\ui button radial 32x32 rollover.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button radial 32x32 rollover.tga,4114,94e7dc9ea503bbb5328f58be469289ef9dc49d30350bd4e0794bba4929c26bc7,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button radial 32x32 rollover.bti,25,61188a8d047cc292d54ca929904f9d9d0f4bbb73b2da919ad3bc2130697b6a20
dlc-frontend\textures\ui\ui button radial 32x32.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button radial 32x32.tga,4114,657cf1d762a167df1495d5bddb3ee1899e094057ebfd72aa514a6c62ff842d38,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button radial 32x32.bti,25,3823028b4416e4f250c717ab672ff2ff1e12fab10284a82369bdb3b8097da106
dlc-frontend\textures\ui\ui button slider arrow down 32x32 clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow down 32x32 clicked.tga,4114,2acf3ad84440f8add265929db53ab3f3eea35bffc16327221ed9f67a5949d684,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow down 32x32 clicked.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui button slider arrow down 32x32 rollover.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow down 32x32 rollover.tga,4114,8341acd7309285a5d3e7c469ca08bbf7c525288eca6452fecef9148974d681c6,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow down 32x32 rollover.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui button slider arrow down 32x32.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow down 32x32.tga,4114,35bb1d9a53218b3a724e81f8c05f43d6eff04d8ad88649b89bd26e888ad0b34f,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow down 32x32.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui button slider arrow left 32x32 clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow left 32x32 clicked.tga,4114,4adebb4a6ea3895341c143c3cef5e2c3ed27f8759c7cd238546043503e5cc091,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow left 32x32 clicked.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui button slider arrow left 32x32 rollover.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow left 32x32 rollover.tga,4114,9de346a5ab2565105b8b861f8b79284aa9fcaa6b5bca98e18eb060cc6de410eb,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow left 32x32 rollover.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
