"RelativePath","SourceType","TgaPath","BtiPath","OriginalDdtPath","Width","Height","TgaImageType","BitsPerPixel","TgaBytes","BtiFound","OriginalDdtFound","ProcessingEligible","DuplicateRelativePath"
"dlc-frontend\textures\ui\ui button long 128x32 clicked.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 128x32 clicked.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 128x32 clicked.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button long 128x32 clicked.ddt","128","32","2","32","16402","True","True","True","False"
"dlc-frontend\textures\ui\ui button long 128x32 rollover.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 128x32 rollover.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 128x32 rollover.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button long 128x32 rollover.ddt","128","32","2","32","16402","True","True","True","False"
"dlc-frontend\textures\ui\ui button long 128x32.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 128x32.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 128x32.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button long 128x32.ddt","128","32","2","32","16402","True","True","True","False"
"dlc-frontend\textures\ui\ui button long 160x32 clicked.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 160x32 clicked.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 160x32 clicked.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button long 160x32 clicked.ddt","256","32","2","32","32786","True","True","True","False"
"dlc-frontend\textures\ui\ui button long 160x32 rollover.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 160x32 rollover.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 160x32 rollover.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button long 160x32 rollover.ddt","256","32","2","32","32786","True","True","True","False"
"dlc-frontend\textures\ui\ui button long 160x32.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 160x32.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 160x32.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button long 160x32.ddt","256","32","2","32","32786","True","True","True","False"
"dlc-frontend\textures\ui\ui button long 192x32 clicked.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 192x32 clicked.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 192x32 clicked.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button long 192x32 clicked.ddt","256","32","2","32","32786","True","True","True","False"
"dlc-frontend\textures\ui\ui button long 192x32 rollover.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 192x32 rollover.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 192x32 rollover.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button long 192x32 rollover.ddt","256","32","2","32","32786","True","True","True","False"
"dlc-frontend\textures\ui\ui button long 192x32.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 192x32.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 192x32.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button long 192x32.ddt","256","32","2","32","32786","True","True","True","False"
"dlc-frontend\textures\ui\ui button long 224x32 clicked.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 224x32 clicked.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 224x32 clicked.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button long 224x32 clicked.ddt","256","32","2","32","32786","True","True","True","False"
