"Filename","Category","Width","Height","OpaquePixels","OpaqueCoveragePct","AlphaValueCount","BTIFile","BTILine"
"building_e_monumentbase_map.tga","Building","256","256","1024","1.562","2","D:\AI_upscaling\AoMEE\extracted\textures\building_e_monumentbase_map.bti","alpha=1 noalphatest fmt=BC3"
"kronos wonder map2.tga","Building","256","256","1510","2.304","2","D:\AI_upscaling\AoMEE\extracted\textures\kronos wonder map2.bti","alpha=1 noalphatest fmt=BC3"
"oranos wonder map.tga","Building","256","256","260","0.397","2","D:\AI_upscaling\AoMEE\extracted\textures\oranos wonder map.bti","alpha=1 noalphatest fmt=BC3"
"oranos wonder map1.tga","Building","256","256","1280","1.953","2","D:\AI_upscaling\AoMEE\extracted\textures\oranos wonder map1.bti","alpha=1 noalphatest fmt=BC3"
"scenario t troy wall long dead.tga","Building","256","256","2304","3.516","2","D:\AI_upscaling\AoMEE\extracted\textures\scenario t troy wall long dead.bti","alpha=1 noalphatest fmt=BC3"
"scenario t troy wall long deadb.tga","Building","256","256","2304","3.516","2","D:\AI_upscaling\AoMEE\extracted\textures\scenario t troy wall long deadb.bti","alpha=1 noalphatest fmt=BC3"
"scenario t troy wall long.tga","Building","256","256","2304","3.516","2","D:\AI_upscaling\AoMEE\extracted\textures\scenario t troy wall long.bti","alpha=1 noalphatest fmt=BC3"
"hero g heracles head.tga","Character/Unit","64","32","8","0.391","2","D:\AI_upscaling\AoMEE\extracted\textures\hero g heracles head.bti","alpha=1 noalphatest fmt=BC3"
"hero g theseus shield.tga","Character/Unit","64","32","204","9.961","2","D:\AI_upscaling\AoMEE\extracted\textures\hero g theseus shield.bti","alpha=1 noalphatest fmt=BC3"
"infantry x trident soldier head hero.tga","Character/Unit","64","16","15","1.465","2","D:\AI_upscaling\AoMEE\extracted\textures\infantry x trident soldier head hero.bti","alpha=1 noalphatest fmt=BC3"
"cavalry e war elephant basket standard.tga","Other","64","64","169","4.126","2","D:\AI_upscaling\AoMEE\extracted\textures\cavalry e war elephant basket standard.bti","alpha=1 noalphatest fmt=BC3"
"cavalry g hippikon head bronze.tga","Other","32","32","35","3.418","2","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hippikon head bronze.bti","alpha=1 noalphatest fmt=BC3"
"cavalry g hippikon head copper.tga","Other","32","32","35","3.418","2","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hippikon head copper.bti","alpha=1 noalphatest fmt=BC3"
"cavalry g hippikon head iron.tga","Other","32","32","35","3.418","2","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hippikon head iron.bti","alpha=1 noalphatest fmt=BC3"
"cavalry g hippikon horse standard.tga","Other","128","128","1396","8.521","2","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hippikon horse standard.bti","alpha=1 noalphatest fmt=BC3"
"cavalry g prodromos horse standard.tga","Other","128","128","1396","8.521","2","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g prodromos horse standard.bti","alpha=1 noalphatest fmt=BC3"
"cine g poseidon stone.tga","Other","256","256","2806","4.282","2","D:\AI_upscaling\AoMEE\extracted\textures\cine g poseidon stone.bti","alpha=1 noalphatest fmt=BC3"
"infantry e chariot archer iron map.tga","Other","64","64","264","6.445","2","D:\AI_upscaling\AoMEE\extracted\textures\infantry e chariot archer iron map.bti","alpha=1 noalphatest fmt=BC3"
"infantry g hoplite head iron.tga","Other","32","32","102","9.961","2","D:\AI_upscaling\AoMEE\extracted\textures\infantry g hoplite head iron.bti","alpha=1 noalphatest fmt=BC3"
"infantry g myrmidon head iron.tga","Other","64","32","179","8.74","2","D:\AI_upscaling\AoMEE\extracted\textures\infantry g myrmidon head iron.bti","alpha=1 noalphatest fmt=BC3"
"platform map.tga","Other","128","32","56","1.367","2","D:\AI_upscaling\AoMEE\extracted\textures\platform map.bti","alpha=1 noalphatest fmt=BC3"
"projectile a ballista arrow iron.tga","Other","64","16","88","8.594","2","D:\AI_upscaling\AoMEE\extracted\textures\projectile a ballista arrow iron.bti","alpha=1 noalphatest fmt=BC3"
"projectile a ballista arrow.tga","Other","64","16","88","8.594","2","D:\AI_upscaling\AoMEE\extracted\textures\projectile a ballista arrow.bti","alpha=1 noalphatest fmt=BC3"
"scenario g circe head.tga","Other","32","32","30","2.93","2","D:\AI_upscaling\AoMEE\extracted\textures\scenario g circe head.bti","alpha=1 noalphatest fmt=BC3"
"scenario g circe.tga","Other","64","64","271","6.616","2","D:\AI_upscaling\AoMEE\extracted\textures\scenario g circe.bti","alpha=1 noalphatest fmt=BC3"
"scenario n reginleif map.tga","Other","64","64","248","6.055","2","D:\AI_upscaling\AoMEE\extracted\textures\scenario n reginleif map.bti","alpha=1 noalphatest fmt=BC3"
"sfx e citadel age4.tga","Other","256","256","2802","4.276","2","D:\AI_upscaling\AoMEE\extracted\textures\sfx e citadel age4.bti","alpha=1 noalphatest fmt=BC3"
"sfx e citadel.tga","Other","256","256","2802","4.276","2","D:\AI_upscaling\AoMEE\extracted\textures\sfx e citadel.bti","alpha=1 noalphatest fmt=BC3"
"sfx g plenty.tga","Other","256","256","1381","2.107","2","D:\AI_upscaling\AoMEE\extracted\textures\sfx g plenty.bti","alpha=1 noalphatest fmt=BC3"
"siege c sitting tiger iron.tga","Other","64","64","245","5.981","2","D:\AI_upscaling\AoMEE\extracted\textures\siege c sitting tiger iron.bti","alpha=4 noalphatest fmt=BC3"
"siege c sitting tiger.tga","Other","64","64","245","5.981","2","D:\AI_upscaling\AoMEE\extracted\textures\siege c sitting tiger.bti","alpha=4 noalphatest fmt=BC3"
"siege e catapult iron.tga","Other","64","64","271","6.616","2","D:\AI_upscaling\AoMEE\extracted\textures\siege e catapult iron.bti","alpha=1 noalphatest fmt=BC3"
"siege e catapult.tga","Other","64","64","271","6.616","2","D:\AI_upscaling\AoMEE\extracted\textures\siege e catapult.bti","alpha=1 noalphatest fmt=BC3"
"siege g petrobolos iron.tga","Other","64","64","230","5.615","2","D:\AI_upscaling\AoMEE\extracted\textures\siege g petrobolos iron.bti","alpha=1 noalphatest fmt=BC3"
"siege g petrobolos.tga","Other","64","64","230","5.615","2","D:\AI_upscaling\AoMEE\extracted\textures\siege g petrobolos.bti","alpha=1 noalphatest fmt=BC3"
"siege n ballista bolt iron.tga","Other","64","16","88","8.594","2","D:\AI_upscaling\AoMEE\extracted\textures\siege n ballista bolt iron.bti","alpha=1 noalphatest fmt=BC3"
"siege n ballista bolt.tga","Other","64","16","88","8.594","2","D:\AI_upscaling\AoMEE\extracted\textures\siege n ballista bolt.bti","alpha=1 noalphatest fmt=BC3"
"siege n ballista iron.tga","Other","64","64","169","4.126","2","D:\AI_upscaling\AoMEE\extracted\textures\siege n ballista iron.bti","alpha=1 noalphatest fmt=BC3"
"siege n ballista.tga","Other","64","64","169","4.126","2","D:\AI_upscaling\AoMEE\extracted\textures\siege n ballista.bti","alpha=1 noalphatest fmt=BC3"
"special e petesuchos.tga","Other","128","128","716","4.37","2","D:\AI_upscaling\AoMEE\extracted\textures\special e petesuchos.bti","alpha=1 noalphatest fmt=BC3"
"special e roc basket.tga","Other","128","128","615","3.754","2","D:\AI_upscaling\AoMEE\extracted\textures\special e roc basket.bti","alpha=1 noalphatest fmt=BC3"
"special g centaur low.tga","Other","128","64","184","2.246","2","D:\AI_upscaling\AoMEE\extracted\textures\special g centaur low.bti","alpha=1 noalphatest fmt=BC3"
