"Filename","Category","Width","Height","AlphaValueCount","AlphaType","TransparentPixels","PartialAlpha","OpaquePixels","AlphaCoveragePct","OpaqueCoveragePct","CoverageGroup","BTIFile"
"ui line yellow.tga",,"256","8","227","MultiValue","0","2040","8","100","0.391","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\ui\ui line yellow.bti"
"oranos wonder map.tga",,"256","256","2","Binary","65276","0","260","0.397","0.397","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\oranos wonder map.bti"
"building g roofage1.tga",,"256","256","2","Binary","65266","0","270","0.412","0.412","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g roofage1.bti"
"building x titangate.tga",,"256","256","2","Binary","65264","0","272","0.415","0.415","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building x titangate.bti"
"building c wallsage1.tga",,"256","256","11","MultiValue","56800","8424","312","13.33","0.476","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building c wallsage1.bti"
"building c wallsage2.tga",,"256","256","11","MultiValue","56800","8424","312","13.33","0.476","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building c wallsage2.bti"
"building c wallsage3.tga",,"256","256","11","MultiValue","56800","8424","312","13.33","0.476","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building c wallsage3.bti"
"building c wallsage4.tga",,"256","256","11","MultiValue","56800","8424","312","13.33","0.476","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building c wallsage4.bti"
"building n wonder.tga",,"256","256","3","MultiValue","65160","25","351","0.574","0.536","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n wonder.bti"
"building x palace age2.tga",,"256","256","2","Binary","65152","0","384","0.586","0.586","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building x palace age2.bti"
"building n thorarmory.tga",,"256","256","2","Binary","64972","0","564","0.861","0.861","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n thorarmory.bti"
"building c wonder temple.tga",,"256","256","2","Binary","64964","0","572","0.873","0.873","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building c wonder temple.bti"
"building n temple.tga",,"256","256","3","MultiValue","64941","21","574","0.908","0.876","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n temple.bti"
"hero c general head.tga",,"32","32","48","MultiValue","817","198","9","20.215","0.879","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\hero c general head.bti"
"titan x kronos.tga",,"256","256","3","MultiValue","64883","70","583","0.996","0.89","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\titan x kronos.bti"
"building x temple age0.tga",,"256","256","3","MultiValue","64767","149","620","1.173","0.946","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building x temple age0.bti"
"building g fortress.tga",,"256","256","2","Binary","64888","0","648","0.989","0.989","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g fortress.bti"
"world n tent.tga",,"128","128","3","MultiValue","16199","20","165","1.129","1.007","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world n tent.bti"
"animal yak.tga",,"128","128","14","MultiValue","15811","405","168","3.497","1.025","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\animal yak.bti"
"animal white tiger map.tga",,"128","128","12","MultiValue","15951","264","169","2.643","1.031","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\animal white tiger map.bti"
"building n shared02 2 map.tga",,"256","256","3","MultiValue","64813","32","691","1.103","1.054","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n shared02 2 map.bti"
"special e mummy map.tga",,"64","64","3","MultiValue","4041","10","45","1.343","1.099","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special e mummy map.bti"
"special g chimera.tga",,"128","128","3","MultiValue","16167","37","180","1.324","1.099","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special g chimera.bti"
"special g sea turtle.tga",,"256","256","3","MultiValue","64638","177","721","1.37","1.1","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special g sea turtle.bti"
"gaia wonder map2.tga",,"256","256","3","MultiValue","64690","75","771","1.291","1.176","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\gaia wonder map2.bti"
