LogicalTGA,SourceClass,ActualPath,Exists,DecodeOK,ActualWidth,ActualHeight,ExpectedWidth,ExpectedHeight,ActualSizeBytes,ExpectedFileSizeKB,SizeOK,DimensionsOK,Status,Error
dlc-frontend/textures/ui/ui button check box 32x32 clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button check box 32x32 clicked.tga,True,True,32,32,32,32,4114,4.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button check box 32x32 rollover.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button check box 32x32 rollover.tga,True,True,32,32,32,32,4114,4.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button check box 32x32.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button check box 32x32.tga,True,True,32,32,32,32,4114,4.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button long 128x32 clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 128x32 clicked.tga,True,True,128,32,128,32,16402,16.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button long 128x32 rollover.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 128x32 rollover.tga,True,True,128,32,128,32,16402,16.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button long 128x32.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 128x32.tga,True,True,128,32,128,32,16402,16.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button long 160x32 clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 160x32 clicked.tga,True,True,256,32,256,32,32786,32.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button long 160x32 rollover.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 160x32 rollover.tga,True,True,256,32,256,32,32786,32.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button long 160x32.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 160x32.tga,True,True,256,32,256,32,32786,32.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button long 192x32 clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 192x32 clicked.tga,True,True,256,32,256,32,32786,32.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button long 192x32 rollover.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 192x32 rollover.tga,True,True,256,32,256,32,32786,32.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button long 192x32.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 192x32.tga,True,True,256,32,256,32,32786,32.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button long 224x32 clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 224x32 clicked.tga,True,True,256,32,256,32,32786,32.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button long 224x32 rollover.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 224x32 rollover.tga,True,True,256,32,256,32,32786,32.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button long 224x32.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 224x32.tga,True,True,256,32,256,32,32786,32.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button long 96x32 clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 96x32 clicked.tga,True,True,128,32,128,32,16402,16.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button long 96x32 rollover.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 96x32 rollover.tga,True,True,128,32,128,32,16402,16.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button long 96x32.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 96x32.tga,True,True,128,32,128,32,16402,16.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button radial 32x32 clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button radial 32x32 clicked.tga,True,True,32,32,32,32,4114,4.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button radial 32x32 rollover.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button radial 32x32 rollover.tga,True,True,32,32,32,32,4114,4.0,False,True,FAIL,file size mismatch; 
