relative_path,source_width,source_height,output_width,output_height,dimension_ok,alpha_ok,output_decode_ok,source_rgba_sha256,output_rgba_sha256,error
textures/ui/ui god hades 256x256.tga,256,256,1024,1024,True,True,True,450bef312a9ae8987882fd324665e328964c100a29d4fdf61d54b2c0c5aea2ff,c18de38520f5853bf2b57496fd9281acdb2e1d6823490392c8a0ef20388e63a6,
textures/ui/ui god hades 32x32.tga,32,32,128,128,True,True,True,5a2d6fb43842e61f8afc4193f90f65a5f611ed0ec32b3d60daeec956413c91c3,bc74b0a97ff412c0619ccd6d0867b5711ce54d92b6d99851e9e2387f1bc81d41,
textures/ui/ui god hades 64x64.tga,64,64,256,256,True,True,True,c36f693af6fe22d051da2dcbdcb16105a6358159c9047bc889c0f9b8a1ac9aba,6e90bbd0a4a1f5467569647c031a8bf4eb45366eb483ef8ea7706d262640c0dd,
textures/ui/ui god isis 128x128.tga,128,128,512,512,True,True,True,8af22fa7bb29676f75d3d008676e5c9a2151e5f5589799ec06e80612ea37414d,ba7268492ffb247fd7672e25086d56a2d1b8a21872a30f750108a58431df5932,
textures/ui/ui god isis 256x256.tga,256,256,1024,1024,True,True,True,5d61e53334bc09aefb754c65c280dcfc2ee782d2e693d72a0ae84c39e9f7d6fa,7743cc9e7edc8a6092ccdc7273f482bc3a6d542362166ec7f19f87ebcbee4be5,
textures/ui/ui god isis 32x32.tga,32,32,128,128,True,True,True,be5b6f3397645aa5818186def8ff5b9e31ef524862606e3b9ece28096a11cfd0,f70fb603b90ec2b1532810e14f8b1209139131e2ed5661f60962a6d456e5fdfe,
textures/ui/ui god isis 64x64.tga,64,64,256,256,True,True,True,09e2efbabc813fd7af06eb414c552d890242c7dc22279a35373340ab9e86de4d,e9250100bcd47e2220aaef4421b75b2e817b2ea58aabb172193813f961a1fce8,
textures/ui/ui god kronos 128x128.tga,128,128,512,512,True,True,True,aa1015f177780ac94898199e29b5d5fcc321c317271b2f42ba5ff35dcf11c87c,ea33787c20f58ec9d832cd638961fb7e9a4ab9a5bf4c59e3fe1ba16be0f2bda3,
textures/ui/ui god kronos 256x256.tga,256,256,1024,1024,True,True,True,5215712ca27cfc65b9b56c9f7f78e81f500f9eadf33fa0e89f4931bb595bb688,20507eec275fb5391bc55fae59441c510b69b120308429c1087f56e30fa06074,
textures/ui/ui god kronos 32x32.tga,32,32,128,128,True,True,True,7891eecb05129f4fdda71d59481f157df5745ed7cd8fb9cd162be77a0334325e,19d95cbca601ab8978d07f2f9c9785fe2d620c7d5fbca3f7640612cbc968bad0,
textures/ui/ui god kronos 64x64.tga,64,64,256,256,True,True,True,874039c340f24f2a2989b9698a09385a899016edd81f67a533fdb65b302ddae5,488ad99256dcca9a885a9deb3ff47907e4f3ff2d9fb05d0598004ae1a84018c4,
textures/ui/ui god loki 128x128.tga,128,128,512,512,True,True,True,126c337c9df2dc12bb9ebadea7a2a8a7d6601e3fd4fbfc4b1182f7dff7c5312b,b493c19025927316536d4aba29bba552aaea275b81599609d0d6fe73dc8f1c5c,
textures/ui/ui god loki 256x256.tga,256,256,1024,1024,True,True,True,3cc22b9ff558d50688eb52fb7fa6b0328efd3ac8e01b0374acef4afd43505871,240ec6e1402003dc6514844febf6ff037dd096b48efc3552fd7e78527d253e5e,
