RelativePath,Category,SourceType,SourceWidth,SourceHeight,SourceArea,OutputWidth,OutputHeight,OutputArea,OutputMegapixels,OutputMaxDimension,BTIFormat,BTIAlphaBits,NoAlphaTest,NoMip,Clamp,BTIBOM,AlphaBand,AlphaCoveragePercent,AlphaValueCount,MTRLTotal,MTRLCT0,MTRLCT4,PBRifyFound,DDTFound,DDTBytes,DDTNonEmpty,Large1024Plus,Large2048Plus,Large4096Plus,Square1024Output,BC1Large,BC1Square1024,CanonicalFamily,EstimatedRGBABytes,OutputExactly4x
textures\athenamap.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,1,True,False,False,False,,6.487,3,0,0,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building attachments.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,1,False,False,False,False,,52.986,3,227,222,5,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building c accessories.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,1,True,False,False,False,,4.648,95,42,34,8,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building c earthen wall.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,4,True,False,False,False,,1.91,2,17,0,17,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building c fortified wall.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,4,True,False,False,False,,1.91,2,18,1,17,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building c garden age1 decal.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,4,False,False,False,False,,46.504,74,0,0,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building c garden age3 decal.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,4,False,False,False,False,,46.504,74,0,0,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building c great wall.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,4,True,False,False,False,,1.91,2,17,0,17,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building c props.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,4,True,False,False,False,,99.689,69,0,0,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building c roofage1.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,4,True,False,False,False,,0.0,1,47,1,46,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building c roofage2.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,4,True,False,False,False,,0.0,1,0,0,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building c roofage3.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,4,True,False,False,False,,0.0,1,0,0,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building c roofage4.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,4,True,False,False,False,,0.0,1,0,0,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building c special.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,4,True,False,False,False,,0.0,1,22,10,12,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building c stone wall.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,4,True,False,False,False,,1.91,2,17,0,17,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building c titan gate decal.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,4,False,False,False,False,,55.753,243,0,0,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building c titan gate map.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,1,False,False,False,False,,17.406,3,12,6,6,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building c tower age2.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,4,True,False,False,False,,2.094,2,8,0,8,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building c tower age3.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,4,True,False,False,False,,2.094,2,0,0,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building c tower age4.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,4,True,False,False,False,,2.094,2,0,0,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building c wallsage1.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,4,True,False,False,False,,13.33,11,43,0,43,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building c wallsage2.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,4,True,False,False,False,,13.33,11,0,0,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building c wallsage3.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,4,True,False,False,False,,13.33,11,0,0,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building c wallsage4.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,4,True,False,False,False,,13.33,11,0,0,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building c wonder city floor.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,4,True,False,False,False,,0.0,1,2,2,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building c wonder city roof.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,4,True,False,False,False,,0.0,1,2,0,2,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building c wonder city walls.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,4,True,False,False,False,,0.0,1,1,0,1,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building c wonder palace floor.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,4,True,False,False,False,,0.0,1,2,2,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building c wonder palace roof.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,4,True,False,False,False,,0.0,1,2,0,2,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building c wonder palace walls.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,4,True,False,False,False,,2.333,11,2,0,2,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building c wonder temple.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,4,True,False,False,False,,0.873,2,4,0,4,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building construction.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,1,False,False,False,False,,34.804,3,223,223,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building e age1 accessories.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,0,False,False,False,False,,100.0,1,11,11,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building e age1.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,1,True,False,False,False,,3.204,3,78,42,36,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building e age2 accessories burnt.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,1,True,False,False,False,,1.526,2,2,2,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building e age2 accessories.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,1,False,False,False,False,,97.287,3,77,77,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building e age2 burnt.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,1,True,False,False,False,,3.07,2,2,2,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building e age2 wall.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,1,True,False,False,False,,1.971,3,60,28,32,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building e age2.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,1,True,False,False,False,,3.07,2,100,53,47,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building e age3 accessories.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,1,True,False,False,False,,1.614,2,119,119,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building e age3.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,1,True,False,False,False,,4.221,3,197,101,96,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building e age3a accessories.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,1,True,False,False,False,,0.0,1,43,43,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building e age4 accessories.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,1,True,False,False,False,,0.0,1,21,21,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building e age4.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,1,True,False,False,False,,5.151,2,121,61,60,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building e age4roof.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,1,True,False,False,False,,0.0,1,57,57,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building e dock boat.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,0,False,False,False,False,,100.0,1,6,6,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building e fortress accessories.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,4,True,False,False,False,,1.439,31,10,6,4,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building e fortress accessories02.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,4,True,False,False,False,,0.0,1,2,2,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building e fortress age3.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,0,False,False,False,False,,100.0,1,6,6,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building e fortress.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,4,True,False,False,False,,0.0,1,6,6,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building e isis wonder01.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,1,True,False,False,False,,2.051,2,7,4,3,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building e isis wonder02.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,1,True,False,False,False,,2.04,2,7,4,3,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building e isis wonder03.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,1,True,False,False,False,,100.0,1,3,3,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building e lighthouse.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,1,True,False,False,False,,1.595,2,9,4,5,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building e monument platforms.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,1,True,False,False,False,,2.251,2,29,16,13,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building e monument4.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,1,True,False,False,False,,0.0,1,4,4,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building e obelisk.tga,Unknown,NormalExtraction,256,128,32768,1024,512,524288,0.5243,1024,BC3,1,True,False,False,False,,5.194,3,16,8,8,True,True,524312,True,True,False,False,False,False,False,BC3,2097152,True
textures\building e osiris pyramid dead.tga,Unknown,NormalExtraction,512,512,262144,2048,2048,4194304,4.1943,2048,BC3,0,False,False,False,False,,100.0,1,3,3,0,True,True,4194328,True,True,True,False,False,False,False,BC3,16777216,True
textures\building e osiris pyramid.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,0,False,False,False,False,,100.0,1,2,2,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building e outpost.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,1,True,False,False,False,,0.262,2,10,5,5,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building e props.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,0,False,False,False,False,,100.0,1,75,75,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building e pyramid.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,0,False,False,False,False,,100.0,1,1,1,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building e ra wonder01.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,1,True,False,False,False,,0.0,1,5,5,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\building e ra wonder02.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,1,True,False,False,False,,2.097,2,10,5,5,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
